Procuring Entity (PE),Region,Province,City/Municipality,Government Branch,PE Organization Type,PE Organization Type (Grouped),Bid Reference No.,Notice Title,Classification,Procurement Mode,Business Category,Funding Source,Funding Instrument,Trade Agreement,Approved Budget of the Contract,Published Date,Closing Date,Area of Delivery,Contract Duration,Calendar Type,Line Item No,Item Name,Item Description,Quantity,UOM,Item Budget,Bid Notice Status,Award Reference No.,Award Title,UNSPSC Code,UNSPSC Description,Published Date(Award),Award Date,Contract Amount,Award Notice Status,Notice to Proceed Date,Contract Effectivity Date,Contract End Date,Awardee Organization Name,Country of Awardee,Region of Awardee,Province of Awardee,City/Municipality of Awardee,Awardee Size,Awardee Joint Venture
DEPARTMENT OF AGRICULTURE - REGION IV-A,NCR,Metro Manila,Quezon City,Executive,Department,National Government Agencies (NGA),11527795,Procurement of Meals and Snacks to be used in the conduct of Stakeholders Forum of the Regional Corn Program,Goods,Negotiated Procurement - NGO Participation (Sec. 53.11),Catering Services,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,110000.00,26/11/2024,29/11/2024,NULL,0,Day/s,1,Meals and Snacks,"100 pax MEALS AND SNACKS Breakfast, AM Snacks, Lunch, PM Snacks and Dinner  Place of conduct Padre Garcia Municipal Hall",100,Pack,110000.00,Awarded,5229880,Meals and Snacks,90101603,Catering services,10/12/2024,10/12/2024,110000.00,Posted,NULL,NULL,NULL,KITITAY FOOD AND AGRI PRODUCTS,Philippines,Region IV-A,Laguna,Magdalena,Micro,NULL
"MUNICIPALITY OF M'LANG, COTABATO",Region XII,Cotabato,M'lang,Executive,Municipal Government,Local Government Units (LGU),11351540,Supply and Delivery of Meals and Snacks BPAT’s Training Course,Goods,Negotiated Procurement - NGO Participation (Sec. 53.11),Catering Services,Asian Development Bank (ADB),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,100250.00,12/10/2024,15/10/2024,Cotabato,10,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - BOHOL 3RD DEO,Region VII,Bohol,Guindulman,Executive,Department,National Government Agencies (NGA),11407437,25HB0019 ORGANIZATIONAL OUTCOME 2 Protect Lives and Properties Against Major Floods – Flood Management Program – Construction/Maintenance of Flood Mitigation Structures and Drainage System – Construc,Civil Works,Public Bidding,Construction Projects,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,87933695.00,29/10/2024,18/11/2024,Bohol,278,Day/s,1,25HB0019,ORGANIZATIONAL OUTCOME 2 Protect Lives and Properties Against Major Floods – Flood Management Program – Construction/Maintenance of Flood Mitigation Structures and Drainage System – Construction of Flood Mitigation Structure along Tumuran – Sarangan,1,Lot,87933695.00,Awarded,5359553,25HB0019,72000000,Building and Facility Construction and Maintenance Services,10/02/2025,07/02/2025,87868653.68,Updated,25/02/2025,03/03/2025,05/12/2025,MUAÑA CONSTRUCTION AND DEVELOPMENT CORP.,Philippines,Region VII,Cebu,Cebu City,Large,NULL
"MUNICIPALITY OF ROXAS, ISABELA",Region II,Isabela,Roxas,Executive,Municipal Government,Local Government Units (LGU),11357172,"Supply  and  Delivery of  43,000.00 Pax Spaghetti and Sopas Package to be given to Indigent Constituents of  the Municipality of  Roxas, Isabela",Goods,Public Bidding,Food Stuff,Government of the Philippines (GOP),Loans / Grants,Implementing Rules and Regulations,14426500.00,15/10/2024,04/11/2024,Isabela,20,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MARIANO MARCOS MEMORIAL HOSPITAL AND MEDICAL CENTER,Region I,Ilocos Norte,Batac,Executive,Hospital,National Government Agencies (NGA),11402473,01-2025LR  Supply and Delivery of Various Laboratory Supplies and Reagents for FY 2025 Use,Goods,Public Bidding,Laboratory Supplies and Equipment,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,50014893.80,28/10/2024,29/11/2024,Ilocos Norte,0,Day/s,27,2025-01-0027LR (Murex),"Evacuated tube, 3.2% buffered Sodium Citrate for coagulation studies (0.105M), BLUE TOP, at least 1.8 ml draw in 5 ml tube, double-walled tube, plastic, non-screw but cap must be tight fit to tube; per piece",6000,Piece,72000.00,Awarded,5331685,2025-01-0027LR (Murex),41000000,Laboratory and Measuring and Observing and Testing Equipment,28/01/2025,22/01/2025,33000.00,Updated,27/01/2025,27/01/2025,11/07/2025,MUREX DIAGNOSTIC PRODUCTS SPECIALISTS,Philippines,Region I,Pangasinan,San Nicolas,Large,NULL
BICOL MEDICAL CENTER,Region V,Camarines Sur,Naga City,Executive,Hospital,National Government Agencies (NGA),11622204,PB-SUPPLY & DELIVERY OF MEDICAL SUPPLIES (SPECIALTY CLINICS) FOR CY 2025 THROUGH  FRAMEWORK AGREEMENT F-IB No. 2024-09,Goods,Public Bidding,Medical Supplies and Laboratory Instrument,Government of the Philippines (GOP),National Expenditure Program (NEP) for the suceeding year - Single Year,Implementing Rules and Regulations,110928450.00,27/12/2024,28/01/2025,Camarines Sur,0,Day/s,70,Disposable speculum,"MEDIUM, single use, latex-free",1500,Piece,45000.00,Closed,5497576,Disposable speculum,42000000,Medical Equipment and Accessories and Supplies,24/04/2025,21/04/2025,37500.00,Updated,10/07/2025,10/07/2025,10/07/2026,MEDASIA MEDICAL PRODUCTS CORPORATION,Philippines,NCR,Metro Manila,Quezon City,Micro,NULL
DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - RIZAL II DEO,NCR,Metro Manila,Pasig City,Executive,Department,National Government Agencies (NGA),11523477,25DO0020 ORGANIZATIONAL OUTCOME 1 Ensure Safe and Reliable National Road System - Asset Preservation Program - Preventive Maintenance - Tertiary Roads – Rodriguez - Sn Jose Rd - K0029 + 000 - K0029,Civil Works,Public Bidding,Construction Projects,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,13020280.00,23/11/2024,12/12/2024,Rizal,80,Day/s,1,25DO0020,Preventive Maintenance Asphalt Overlay,1,Lump Sum,13020280.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SK OF BARANGAY STA. LUCIA -  PASIG CITY,NCR,Metro Manila,Pasig City,Executive,Barangay,Local Government Units (LGU),11512884,Leadership Youth Camp,Goods,Public Bidding,General Merchandise,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,142300.00,22/11/2024,29/11/2024,NULL,0,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"BARANGAY JANAGDONG, MOGPOG, MARINDUQUE",Region IV-B,Marinduque,Mogpog,Executive,Barangay,Local Government Units (LGU),11406629,SUPPLY AND DELIVERY OF MATERIALS FOR BRGY. HALL 2ND FLOOR RENOVATION,Goods,Public Bidding,General Merchandise,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,429131.00,30/10/2024,06/11/2024,Marinduque,30,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CONRADO F. ESTRELLA REGIONAL MEDICAL CENTER AND TRAUMA CENTE,Region I,Pangasinan,Rosales,Executive,Hospital,National Government Agencies (NGA),11623928,EARLY PROCUREMENT ACTIVITY (EPA) FOR THE PROCUREMENT OF VARIOUS LABORATORY SUPPLIES AND REAGENTS FOR CY 2025 THROUGH FRAMEWORK AGREEMENT,Goods,Public Bidding,Laboratory Supplies and Equipment,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,5455945.00,19/12/2024,09/01/2025,Pangasinan,7,Day/s,3,Lot 3,Compatible with existing machine- Semi Automated Hematology Analyzer - Mindray BC-32,1,Lot,362300.00,Awarded,5393263,Lot 3,41115815,Hematology analyzers,27/02/2025,17/01/2025,362246.00,Updated,21/01/2025,20/01/2025,20/01/2026,17J MEDICAL SUPPLIES TRADING,Philippines,Region III,Pampanga,San Fernando City,Micro,NULL
CITY GOVERNMENT OF PUERTO PRINCESA,Region IV-B,Palawan,Puerto Princesa City,Executive,City Government,Local Government Units (LGU),11531327,"300-2024-11-141 Supply and delivery of various medical supplies (self-care kits, etc.)",Goods,Public Bidding,Medical Supplies and Laboratory Instrument,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,1120400.00,26/11/2024,16/12/2024,Palawan,60,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"MUNICIPALITY OF MAYANTOC, TARLAC",Region III,Tarlac,Mayantoc,Executive,Municipal Government,Local Government Units (LGU),11465517,CONSTRUCTION OF PEDESTAL FOR SOLAR STREET LIGHTS,Civil Works,Public Bidding,Construction Projects,Others,Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,350000.00,13/11/2024,21/11/2024,Tarlac,60,Day/s,1,CONSTRUCTION OF PEDESTAL FOR SOLAR STREET LIGHTS,CONSTRUCTION OF PEDESTAL FOR SOLAR STREET LIGHTS,2,Lot,350000.00,Awarded,5258499,CONSTRUCTION OF PEDESTAL FOR SOLAR STREET LIGHTS,39110000,Lighting Fixtures and Accessories,14/01/2025,02/12/2024,348667.80,Updated,04/12/2024,05/12/2024,02/02/2025,J.N. BONDOC CONSTRUCTION SERVICES,Philippines,Region III,Tarlac,Sta. Ignacia,Medium,NULL
"MUNICIPALITY OF SAN JUAN, SIQUIJOR",Region VII,Siquijor,San Juan,Executive,Municipal Government,Local Government Units (LGU),11521457,Request for Quotation on Cultural Preservation Program,Goods,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Electrical Systems and Lighting Components,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,99965.00,23/11/2024,26/11/2024,Siquijor,15,Day/s,10,Electrical System and Lighting Components,"Christmas series lights, green 100 lights, outdoor 6m",23,Piece,6095.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BARANGAY AMOGUIS - LAGONOY CAMARINES SUR,Region V,Camarines Sur,Lagonoy,Executive,Barangay,Local Government Units (LGU),11452055,SK OFFICE SUPPLIES,Goods,Negotiated Procurement - Small Value Procurement (Sec. 53.9),General Merchandise,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,20400.00,11/11/2024,14/11/2024,Camarines Sur,0,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NEW MABUHAY ELEMENTARY SCHOOL - GENERAL SANTOS CITY,Region XII,South Cotabato,General Santos City,Executive,Elementary,National Government Agencies (NGA),11437356,CONSTRUCTION SUPPLIES AND MATERIALS FOR REHABILITATION OF FEEDING ROOM,Goods - General Support Services,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Construction Materials and Supplies,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,91895.85,06/11/2024,13/11/2024,South Cotabato,15,Day/s,15,HARDIFLEX,HARDIFLEX,20,Piece,7700.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZAMBOANGA CITY STATE POLYTECHNIC COLLEGE,Region IX,Zamboanga Del Sur,Zamboanga City,Executive,State Universities or Colleges (SUC),State Universities and Colleges (SUC),11383836,Q-417-24 SUPPLY AND DELIVERY OF ICT EQUIPMENT AND PERIPHERALS,Goods,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Information Technology,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,135000.00,20/10/2024,23/10/2024,Zamboanga Del Sur,30,Day/s,1,Q-417-24,Laptop,1,Lot,80000.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PHILIPPINE CHILDREN'S MEDICAL CENTER,NCR,Metro Manila,Quezon City,Executive,Government Owned and/or Controlled Corp.(GOCC),Government Owned and Controlled Corporations (GOCC),11353090,Grocery Items,Goods,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Grocery Items,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,402272.48,12/10/2024,15/10/2024,NULL,0,Day/s,1,Grocery Items,Grocery Items,1,Lot,305525.00,Awarded,5178944,Grocery Items,24000000,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies,18/11/2024,30/10/2024,305525.00,Updated,15/11/2024,18/11/2024,26/11/2024,LABOTECH TRADING,Philippines,NCR,Metro Manila,Parañaque City,Micro,NULL
BATAAN GENERAL HOSPITAL AND MEDICAL CENTER,Region III,Bataan,Balanga City,Executive,Hospital,National Government Agencies (NGA),11492791,"RFQ PR 24-11-619 Endotracheal Tube s.5.5, uncuffed and others",Goods,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Medical Supplies and Laboratory Instrument,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,629150.00,19/11/2024,22/11/2024,Bataan,7,Day/s,16,"Dental LED hi-speed push type handpiece, 2 holes",for CSSR use,4,Piece,100000.00,Failed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LAS PIÑAS GENERAL HOSPITAL AND SATELLITE TRAUMA CENTER,NCR,Metro Manila,Las Piñas City,Executive,Hospital,National Government Agencies (NGA),11487169,TAILORING ACCESSORIES & STORAGE BOXES,Goods,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Textiles,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,16100.00,16/11/2024,11/12/2024,Metro Manila,7,Day/s,5,Flip top storage box with wheels (Small),Flip top storage box with wheels (Small) 38x43x29,25,Piece,8750.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SOUTHERN LEYTE STATE UNIVERSITY - TOMAS OPPUS,Region VIII,Southern Leyte,Tomas Oppus,Executive,State Universities or Colleges (SUC),State Universities and Colleges (SUC),11335794,2024-09-208 Procurement of Other Machineries & Equipment,Goods,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Airconditioning and Airconditioning Systems,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,169999.00,09/10/2024,14/10/2024,Southern Leyte,30,Day/s,2,PO 2024-12-231A,Item No. 2,1,Unit,113499.00,Awarded,5367341,PO 2024-12-231A,44000000,Office Equipment and Accessories and Supplies,13/02/2025,05/12/2024,107998.00,Updated,13/12/2024,13/12/2024,12/01/2025,"COOLCREATOR AIRCON TRADING AND SERVICES, INC.",Philippines,NCR,Metro Manila,Taguig City,Micro,NULL
"CITY OF TUGUEGARAO, CAGAYAN",Region II,Cagayan,Tuguegarao City,Executive,City Government,Local Government Units (LGU),11587497,SUPPLY AND DELIVERY OF VARIOUS FIRECRACKERS TO BE USED DURING THE FIREWORKS SHOW IN CELEBRATION OF THE NEW YEARS EVE IN TUGUEGARAO CITY,Goods,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Pyrotechnics and Fireworks,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,170000.00,07/12/2024,10/12/2024,Cagayan,7,Day/s,1,FIREWORKS SERVICES,VARIOUS FIRECRACKERS,626,Lot,170000.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DEPARTMENT OF  EDUCATION - DIVISION OF LAGUNA,Region IV-A,Laguna,Sta. Cruz,Executive,Department,National Government Agencies (NGA),11319443,"PROCUREMENT OF SCHOOL-BASED FEEDING PROGRAM(SBFP) WEIGHING SCALE BEAM BALANCE, PPEs AND SUPPLIES FOR FOOD SAFETY",Goods,Negotiated Procurement - Small Value Procurement (Sec. 53.9),General Merchandise,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,673675.00,04/10/2024,08/10/2024,Laguna,45,Day/s,1,General Merchandise,"PROCUREMENT OF SCHOOL-BASED FEEDING PROGRAM(SBFP) WEIGHING SCALE BEAM BALANCE, PPEs AND SUPPLIES FOR FOOD SAFETY",1,Lot,673675.00,Awarded,5319765,General Merchandise,44120000,Office supplies,22/01/2025,14/10/2024,673675.00,Updated,09/10/2024,10/10/2024,28/11/2024,LMRJR ENTERPRISES,Philippines,Region IV-A,Laguna,Sta. Cruz,Micro,NULL
"TANGCUB ELEMENTARY SCHOOLL - LIBERTAD, MISAMIS ORIENTAL",Region X,Misamis Oriental,Libertad,Executive,Elementary,National Government Agencies (NGA),11338405,Procurement for Office and school Supplies of Tangkub ES,Goods,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Office Equipment Supplies and Consumables,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,59044.05,09/10/2024,14/10/2024,Misamis Oriental,60,Day/s,1,school and office supplies,"PAPER, Multi-Purpose (COPY) A4, 70 gsm",20,Ream,3600.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SAN JOSE CITY NATIONAL HIGH SCHOOL(JUNIOR),Region III,Nueva Ecija,San Jose City,Executive,High School,National Government Agencies (NGA),11354308,Office and Janitorial Supplies for the 4th Quarter of CY 2024,Goods,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Office Equipment Supplies and Consumables,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,314835.00,14/10/2024,17/10/2024,Nueva Ecija,10,Day/s,1,Office and janitorial supplies,Office and janitorial supplies,1,Lot,314835.00,Awarded,5132821,Office and janitorial supplies,44120000,Office supplies,21/10/2024,18/10/2024,288486.00,Updated,21/10/2024,21/10/2024,31/10/2024,D.O. TALLARA'S GENERAL MERCHANDISE,Philippines,Region III,Nueva Ecija,San Jose City,Micro,NULL
TANAY EAST INTEGRATED NATIONAL HIGH SCHOOL,Region IV-A,Rizal,Tanay,Executive,Integrated School (High School/Elementary),National Government Agencies (NGA),11551781,JHS - REQUEST FOR QUOTATION ICT OFFICE EQUIPMENT AND OFFICE SUPPLIES SUPPLY AND DELIVERY TO TANAY EAST INTEGRATED NHS,Goods,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Office Supplies and Devices,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,73874.00,02/12/2024,05/12/2024,Rizal,3,Day/s,1,ICT OFFICE EQUIPMENT AND OFF,ICT OFFICE EQUIPMENT AND OFF,1,Unit,73874.00,Awarded,5242455,ICT OFFICE EQUIPMENT AND OFF,44120000,Office supplies,13/12/2024,13/12/2024,69813.00,Updated,16/12/2024,17/12/2024,31/12/2024,JESIKARENY OFFICE AND SCHOOL SUPPLIES TRADING,Philippines,Region IV-A,Rizal,Binangonan,Micro,NULL
ABRA STATE INSTITUTE OF SCIENCES AND TECHNOLOGY -ABRA,CAR,Abra,Lagangilang,Executive,State Universities or Colleges (SUC),State Universities and Colleges (SUC),11357401,Meals and Snacks for Lecture-Write shop La Paz,Goods,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Catering Services,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,75000.00,15/10/2024,18/10/2024,Abra,0,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DEPED NATO NATIONAL HIGH SCHOOL - SAGÑAY CAMARINES SUR,Region V,Camarines Sur,Sagñay,Executive,Department,National Government Agencies (NGA),11619543,PROCUREMENT OF CONSTRUCTION MATERIALS AND SUPPLIES FOR CONSTRUCTION OF TEMPORARY LEARNING SPACE OF NNHS,Goods,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Construction Materials and Supplies,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,251445.67,18/12/2024,23/12/2024,Camarines Sur,7,Day/s,44,CEILING FAN 18'',CEILING FAN 18'',4,Unit,2200.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MINES AND GEOSCIENCES BUREAU REGIONAL OFFICE VIII,Region VIII,Leyte,Palo,Executive,Bureau,National Government Agencies (NGA),11576837,Provision of Wireless Conference Set,Goods,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Office Equipment,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,104000.00,11/12/2024,16/12/2024,Leyte,3,Day/s,1,Wireless Conference Set,Provision of Wireless Conference Set,1,Lot,104000.00,Awarded,5340554,Wireless Conference Set,44000000,Office Equipment and Accessories and Supplies,31/01/2025,18/12/2024,87700.00,Updated,23/12/2024,23/12/2024,23/01/2025,"ELECTRONICS CITY AND SERVICE CENTER, INC.",Philippines,Region VIII,Leyte,Tacloban City,Medium,NULL
"MUNICIPALITY OF BAY, LAGUNA",Region IV-A,Laguna,Bay,Executive,Municipal Government,Local Government Units (LGU),11459458,"PROCUREMENT OF SUPPLIES TO BE USED IN THE COMMUNITY BASED DRUG REHABILITATION PROGRAM ROLL-OUT (CBDRP) IN 11 BARANGAYS OF BAY, LAGUNA",Goods,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),General Merchandise,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,73259.00,13/11/2024,18/11/2024,Laguna,15,Day/s,1,Supplies,See PR,1,Lot,73259.00,Awarded,5386963,Supplies,41104112,Urine collection containers,24/02/2025,16/12/2024,66592.00,Updated,16/12/2024,16/12/2024,03/01/2025,MERCOGENE PHARMACY &AMP; GENERAL MERCHANDISE,Philippines,Region IV-A,Laguna,Bay,Micro,NULL
"MANTIBUGAO ELEMENTARY SCHOOL, MANOLO FORTICH BUKIDNON",Region X,Bukidnon,Manolo Fortich,Executive,Elementary,National Government Agencies (NGA),11534856,MINSURO ES PROCUREMENT OF SUPPLIES AND CONSUMABLES FOR THE 4TH QUARTER,Goods,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Office Equipment Supplies and Consumables,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,67219.88,27/11/2024,06/12/2024,Bukidnon,7,Day/s,12,PRINTER INK,BLACK,30,Bottle,400.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"MUNICIPALITY OF SAN RAFAEL, BULACAN",Region III,Bulacan,San Rafael,Executive,Municipal Government,Local Government Units (LGU),11323107,Office Equipment to be use in PESO Office,Goods,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Information Technology,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,72000.00,05/10/2024,09/10/2024,Bulacan,3,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"BARANGAY BUHANGINAN, NAGCARLAN, LAGUNA",Region IV-A,Laguna,Nagcarlan,Executive,Barangay,Local Government Units (LGU),11447522,Supply and Delivering of Rice for Elderly Celebration,Goods,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Food Stuff,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,10500.00,08/11/2024,13/11/2024,Laguna,1,Day/s,1,Rice for Elderly Celebration,Assorted,1,Lump Sum,10500.00,Awarded,5195161,Rice for Elderly Celebration,50000000,Food Beverage and Tobacco Products,25/11/2024,14/11/2024,10500.00,Updated,14/11/2024,14/11/2024,14/11/2024,RR TWIN DRAGON OFFICE SUPPLIES AND EQUIPMENT TRADING,Philippines,Region IV-A,Laguna,Nagcarlan,Micro,NULL
"BARANGAY DEL CARMEN, SAN FERNANDO CITY, PAMPANGA",Region III,Pampanga,San Fernando City,Executive,Barangay,Local Government Units (LGU),11445759,"Labor and Materials for the Installation of Street Christmas Lantern (2024) at Barangay Panipuan, City of San Fernando, Pampanga",Goods,Negotiated Procurement - Two Failed Biddings (Sec. 53.1),Electrical Systems and Lighting Components,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,100000.00,07/11/2024,14/11/2024,Pampanga,20,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DEPARTMENT OF EDUCATION - DIVISION OF CABADBARAN CITY,Caraga,Agusan Del Norte,Cabadbaran City,Executive,Department,National Government Agencies (NGA),11537432,"RFQ NO. 2024-225 - PROCUREMENT & DELIVERY OF VARIOUS ASSISTIVE DEVICES, EQUIPMENT, SUPPLIES & MATERIALS FOR INCLUSIV LEARNING RESOURCE CENTER (ILRC) LOT 4",Goods,Negotiated Procurement - Two Failed Biddings (Sec. 53.1),Fixtures,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,722994.00,27/11/2024,02/12/2024,Agusan Del Norte,45,Day/s,46,Fixtures,DUST CATCHER W/ BROOM HEAVY DUTY,6,Set,9000.00,Awarded,5240816,Fixtures,56000000,Furniture and Furnishings,13/12/2024,12/12/2024,8670.00,Updated,12/12/2024,16/12/2024,31/01/2025,JOVINCE EDUCATIONAL AND OFFICE SUPPLIES & GENERAL MERCHANDISE,Philippines,Caraga,Agusan Del Norte,Cabadbaran City,Medium,NULL
PROVINCE OF ZAMBOANGA DEL NORTE,Region IX,Zamboanga Del Norte,Dipolog City,Executive,Provincial Government,Local Government Units (LGU),11480355,Procurement of Electrical Supplies under PR  300 (01) 24-10-307 (A),Goods,Negotiated Procurement - Two Failed Biddings (Sec. 53.1),Electrical Supplies,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,341356.00,15/11/2024,03/12/2024,Zamboanga Del Norte,0,Day/s,1,Electrical Supplies,"Anchor, expanding 8,000 pounds, & etc",4,Piece,341356.00,Awarded,5387938,Electrical Supplies,39121700,Electrical hardware and supplies,25/02/2025,09/12/2024,331020.00,Updated,13/12/2024,17/01/2025,17/02/2025,SCANNER MARKETING,Philippines,Region IX,Zamboanga Del Sur,Pagadian City,Micro,NULL
